aId	sId	orig	cent	au	title	incipit	irreg	nbLin	nbLg	lnNbr	lnTxt	met	rhys	rw	r1	r2	r3	r4	enj	ent
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	11	a iluminar el porvenir oscuro?	4 8 10	ABBA ABBA CDC DEE	oscuro	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	12	¿A servir al que llora de consuelo?	3 6 10	ABBA ABBA CDC DEE	consuelo	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	13	No sé, mas eso que a nuestra alma inflama	1 2 4 8 10	ABBA ABBA CDC DEE	inflama	ABBA	ABBA	CDC	DEE	1	pb_verb_adv
694n	s694n_2496	ame	19	Rubén Darío	LA FE	En medio del abismo de la duda	0	14	4	14	ya sabéis, ya sabéis, la Fe se llama.	1 3 4 6 8 10	ABBA ABBA CDC DEE	llama	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	1	Porque cantáis la eterna Marsellesa	4 6 10	-AAB BAA- CDC DEE	Marsellesa	-AAB	BAA-	CDC	DEE	1	cc_crossclause
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	2	que maldice el poder de los tiranos;	3 6 10	-AAB BAA- CDC DEE	tiranos	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	3	porque alzáis ardorosos en las manos	3 6 10	-AAB BAA- CDC DEE	manos	-AAB	BAA-	CDC	DEE	1	ex_dobj_verb
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	4	el pendón de la luz con entereza;	3 6 10	-AAB BAA- CDC DEE	entereza	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	5	porque deseáis que caiga la cabeza	4 6 10	-AAB BAA- CDC DEE	cabeza	-AAB	BAA-	CDC	DEE	1	pb_noun_prep
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	6	de la hidra aristocrática, y ufanos	3 7 10	-AAB BAA- CDC DEE	ufanos	-AAB	BAA-	CDC	DEE	1	pb_adj_noun
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	7	dais al pueblo principios soberanos,	1 3 6 10	-AAB BAA- CDC DEE	soberanos	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	8	que destruyen del mal la niebla espesa;	3 6 8 10	-AAB BAA- CDC DEE	espesa	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	9	porque gritáis que es libre el pensamiento;	4 5 6 10	-AAB BAA- CDC DEE	pensamiento	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	10	que no tiene cadenas la conciencia,	2 3 6 10	-AAB BAA- CDC DEE	conciencia	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	11	y proclamáis con fuerza y ardimiento	4 6 10	-AAB BAA- CDC DEE	ardimiento	-AAB	BAA-	CDC	DEE	1	cc_crossclause
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	12	que hoy impera nomás la inteligencia;	2 3 6 10	-AAB BAA- CDC DEE	inteligencia	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	13	la muchedumbre criminal y necia,	4 8 10	-AAB BAA- CDC DEE	necia	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_01	ame	19	Rubén Darío	1	Porque cantáis la eterna Marsellesa	0	14	4	14	os escupe, y os odia, y os desprecia.	3 6 10	-AAB BAA- CDC DEE	desprecia	-AAB	BAA-	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	1	Y porque sois soldados de la idea;	4 6 10	ABBA ABBA CDC DEE	idea	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	2	porque rompéis la tiara y la corona,	4 6 10	ABBA ABBA CDC DEE	corona	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	3	y vuestra voz la libertad pregona;	4 8 10	ABBA ABBA CDC DEE	pregona	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	4	la libertad que irradia y centellea;	4 6 10	ABBA ABBA CDC DEE	centellea	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	5	porque deseáis que el Universo vea	4 8 10	ABBA ABBA CDC DEE	vea	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	6	cómo una catedral se desmorona	1 2 6 10	ABBA ABBA CDC DEE	desmorona	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	7	al son del himno que la voz entona	2 4 8 10	ABBA ABBA CDC DEE	entona	ABBA	ABBA	CDC	DEE	1	pb_noun_prep
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	8	del genio de la luz que vida crea;	2 6 8 10	ABBA ABBA CDC DEE	crea	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	9	porque las tablas de la ley del hombre	4 8 10	ABBA ABBA CDC DEE	hombre	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	10	mostráis al mundo llenas de verdades,	2 4 6 10	ABBA ABBA CDC DEE	verdades	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	11	y de la democracia el sacro nombre	6 8 10	ABBA ABBA CDC DEE	nombre	ABBA	ABBA	CDC	DEE	1	pb_adj_noun
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	12	escribís en la faz de estas edades,	3 6 7 10	ABBA ABBA CDC DEE	edades	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	13	tendréis mil bendiciones en la historia	2 3 6 10	ABBA ABBA CDC DEE	historia	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2497_02	ame	19	Rubén Darío	2	Y porque sois soldados de la idea;	0	14	4	14	y una palma en el templo de la gloria.	1 3 6 10	ABBA ABBA CDC DEE	gloria	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	1	Al contemplarte augusta, te venero,	4 6 10	ABBA ABBA CDC DEE	venero	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	2	al ver tu luz, mi corazón se inflama,	2 4 8 10	ABBA ABBA CDC DEE	inflama	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	3	pues al fulgor de tu radiosa llama,	4 8 10	ABBA ABBA CDC DEE	llama	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	4	se estremece la faz del mundo entero.	3 6 8 10	ABBA ABBA CDC DEE	entero	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	5	Cayó la fe con su terrible fuero.	2 4 8 10	ABBA ABBA CDC DEE	fuero	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	6	Ya tu voz por doquiera se derrama;	1 3 6 10	ABBA ABBA CDC DEE	derrama	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	7	se hunden Cristo, Vichnú, Budha y Brahama,	1 3 6 7 10	ABBA ABBA CDC DEE	Brahama	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	8	y las naciones van por tu sendero.	4 6 10	ABBA ABBA CDC DEE	sendero	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	9	A tu poder gigante y soberano	4 6 10	ABBA ABBA CDC DEE	soberano	ABBA	ABBA	CDC	DEE	1	cc_crossclause
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	10	que el Orbe en otro tiempo no admirara,	2 4 6 8 10	ABBA ABBA CDC DEE	admirara	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	11	contra el altar del Sacro Vaticano	4 6 10	ABBA ABBA CDC DEE	Vaticano	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	12	el Papa quiebra con dolor su tiara;	2 4 8 10	ABBA ABBA CDC DEE	tiara	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	13	y aterido y helado, cual la escarcha,	3 6 10	ABBA ABBA CDC DEE	escarcha	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2498	ame	19	Rubén Darío	A LA RAZÓN	Al contemplarte augusta, te venero,	0	14	4	14	grita con Pelletán: “El mundo marcha”.	1 6 8 10	ABBA ABBA CDC DEE	marcha	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	1	Moisés: “La mano del Eterno, un día,	2 4 8 9 10	ABBA ABBA CDC DEE	día	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	2	los orbes creó con poderoso aliento.”	2 4 8 10	ABBA ABBA CDC DEE	aliento	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	3	Laplace: “Mentira! Que este gran portento,	2 5 7 9 11	ABBA ABBA CDC DEE	portento	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	4	del condensado cosmos nacería.”	4 6 10	ABBA ABBA CDC DEE	nacería	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	5	Josué: Tan sólo a la palabra mía,	2 4 8 10	ABBA ABBA CDC DEE	mía	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	6	detuvo el sol su paso turbulento.”	2 4 6 10	ABBA ABBA CDC DEE	turbulento	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	7	Galileo: “No tiene movimiento.”	3 5 6 10	ABBA ABBA CDC DEE	movimiento	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	8	Yo: “Mentía Moisés! Josué mentía.”	1 3 6 8 10	ABBA ABBA CDC DEE	mentía	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	9	¿Qué confusión es esta? Lucha eterna	4 5 6 8 10	ABBA ABBA CDC DEE	eterna	ABBA	ABBA	CDC	DEE	1	ex_subj_verb
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	10	se entabla entre el pasado y el presente.	2 6 10	ABBA ABBA CDC DEE	presente	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	11	Humilde aquél, ante este se prosterna…	2 4 6 10	ABBA ABBA CDC DEE	prosterna	ABBA	ABBA	CDC	DEE	1	ex_dobj_verb
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	12	Este sucumbe miserablemente…	1 4 8 10	ABBA ABBA CDC DEE	miserablemente	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	13	¡Por fin el dogma expira ante la ciencia!	2 4 6 10	ABBA ABBA CDC DEE	ciencia	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2499	ame	19	Rubén Darío	¡QUIÉN VENCERÁ?	Moisés: “La mano del Eterno, un día,	0	14	4	14	¿Quién vencerá? Responda la conciencia.	4 6 10	ABBA ABBA CDC DEE	conciencia	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	1	Águila audaz del mundo americano,	1 4 6 10	ABBA ABBA CDC DEE	americano	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	2	que hoy te remontas presurosa al cielo;	1 4 8 10	ABBA ABBA CDC DEE	cielo	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	3	que predicaste con heroico anhelo	4 8 10	ABBA ABBA CDC DEE	anhelo	ABBA	ABBA	CDC	DEE	1	ex_subj_verb
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	4	el amor a la luz, odio al tirano.	3 6 7 10	ABBA ABBA CDC DEE	tirano	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	5	Hoy te contempla el pensamiento humano	1 4 8 10	ABBA ABBA CDC DEE	humano	ABBA	ABBA	CDC	DEE	1	pb_noun_prep
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	6	de tu vida al rasgarse el tenue velo,	3 6 8 10	ABBA ABBA CDC DEE	velo	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	7	y te leva cantares desde el suelo,	3 6 10	ABBA ABBA CDC DEE	suelo	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	8	como a gran liberal republicano.	3 6 10	ABBA ABBA CDC DEE	republicano	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	9	La idea que llevaste en la conciencia,	2 6 10	ABBA ABBA CDC DEE	conciencia	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	10	centellea del Eterno desprendida,	3 6 10	ABBA ABBA CDC DEE	desprendida	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	11	ilumina la mísera existencia	3 6 10	ABBA ABBA CDC DEE	existencia	ABBA	ABBA	CDC	DEE	1	pb_noun_prep
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	12	de nuestra patria aún tan dividida;	4 6 10	ABBA ABBA CDC DEE	dividida	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	13	¡y en el augusto templo de la Historia	4 6 10	ABBA ABBA CDC DEE	Historia	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2500	ame	19	Rubén Darío	SONETO CÍVICO	Águila audaz del mundo americano,	0	14	4	14	ciñe tu frente el lauro de la gloria!	1 4 6 10	ABBA ABBA CDC DEE	gloria	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	1	Mi non polida pénnola desdora	2 4 6 10	ABBA ABBA CDC DEE	desdora	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	2	aqueste libro con poner un canto	2 4 8 9 10	ABBA ABBA CDC DEE	canto	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	3	en las sus fojas, que me inspiran tanto	4 8 10	ABBA ABBA CDC DEE	tanto	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	4	que facen agitar mi plectro agora.	2 6 8 10	ABBA ABBA CDC DEE	agora	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	5	Nin la fermosa cara de la aurora,	1 4 6 10	ABBA ABBA CDC DEE	aurora	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	6	nin de la noche el estrellado manto,	1 4 8 10	ABBA ABBA CDC DEE	manto	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	7	nin el milagro de cualquiera santo,	1 4 8 10	ABBA ABBA CDC DEE	santo	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	8	belleza como él non atesora.	2 6 7 10	ABBA ABBA CDC DEE	atesora	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	9	Ca magüer es verdad que es non polida	1 3 4 6 7 8 10	ABBA ABBA CDC DEE	polida	ABBA	ABBA	CDC	DEE	1	ex_subj_verb
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	10	la mi pennola ruda e homildosa,	4 6 10	ABBA ABBA CDC DEE	homildosa	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	11	yo tanto entro del pecho, aquí encendida,	1 2 3 6 8 10	ABBA ABBA CDC DEE	encendida	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	12	la foguera del bardo tan fermosa.	3 6 10	ABBA ABBA CDC DEE	fermosa	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	13	Por ende pongo aquí, magüer mal fecho,	2 4 6 8 9 10	ABBA ABBA CDC DEE	fecho	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2501	ame	19	Rubén Darío	"EN LA ÚLTIMA PÁGINA DE ""EL ROMANCERO DEL CID"""	Mi non polida pénnola desdora	0	14	4	14	aquesta trova, rosa de mi pecho.	2 4 6 10	ABBA ABBA CDC DEE	pecho	ABBA	ABBA	CDC	DEE	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	1	Bien arreglado, bien impreso, bueno,	1 4 6 8 10	ABBA ABBA C-C -DD	bueno	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	2	maldice a Tamerlán, canta a Bolívar;	2 6 7 10	ABBA ABBA C-C -DD	Bolívar	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	3	al que está bien con él, le brinda almíbar;	3 4 6 8 10	ABBA ABBA C-C -DD	almíbar	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	4	al que está mal con él, le da veneno.	3 4 6 8 10	ABBA ABBA C-C -DD	veneno	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	5	Siempre sale pulido, siempre ameno;	1 3 6 8 10	ABBA ABBA C-C -DD	ameno	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	6	a Guardia ofreció amargo, rudo acíbar;	2 5 6 8 10	ABBA ABBA C-C -DD	acíbar	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	7	flores da a Barrios, flores a Zaldívar,	1 3 4 6 10	ABBA ABBA C-C -DD	Zaldívar	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	8	hurras al genio, y al tirano cieno.	1 4 8 10	ABBA ABBA C-C -DD	cieno	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	9	He aquí El Ferro-Carril, con redactores	1 2 3 6 10	ABBA ABBA C-C -DD	redactores	ABBA	ABBA	C-C	-DD	1	cc_crossclause
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	10	que le honran, con Hernández y Somoza.	2 6 10	ABBA ABBA C-C -DD	Somoza	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	11	Merece de nosotros mil loores,	2 6 8 10	ABBA ABBA C-C -DD	loores	ABBA	ABBA	C-C	-DD	0	
694n	s694n_2502	ame	19	Rubén Darío	EL FERRO-CARRIL	Bien arreglado, bien impreso, bueno,	0	14	4	12	ya que no le brindamos otra cosa;	1 3 6 8 10	ABBA ABBA C-C -DD	cosa	ABBA	ABBA	C-C	-DD	0	
