n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
filip	con apagado son… ¡qué horrible instante!	con apagado son… ¡qué horrible instante!	11	4 6 7 8 10	4 6 8 10	Endecasílabo sáfico largo	0.9
filip	Más tarde, del olvido al camposanto,	Más tarde, del olvido al camposanto,	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
filip	fui a enterrar mis primeras ilusiones,	fui a enterrar mis primeras ilusiones,	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
filip	de horrendo hastío el corazón cubierto;	de horrendo hastío el corazón cubierto;	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
filip	Y hallé entonces la causa de aquel llanto	Y hallé entonces la causa de aquel llanto	11	2 3 6 9 10	2 6 10	Endecasílabo heroico puro	0.8
filip	que, al trémulo fulgor de los blandones,	que, al trémulo fulgor de los blandones,	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
filip	vi en el semblante de mi padre muerto.	vi en el semblante de mi padre muerto.	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
filip	Nada más. De aquel sueño, que pasó como un ala	Nada más. De aquel sueño, que pasó como un ala	14	1 3 5 6 10 12 13	-	Alejandrino	1.0
filip	por la prosa de un día, el encanto se fué.	por la prosa de un día, el encanto se fué.	14	3 5 6 10 13	-	Alejandrino	1.0
filip	Sólo quedan las huellas de tus besos, tagala,	Sólo quedan las huellas de tus besos, tagala,	14	1 3 6 10 13	-	Alejandrino	1.0
filip	un frasquito de camia y una taza de té.	un frasquito de camia y una taza de té.	14	1 3 6 8 10 13	-	Alejandrino	1.0
filip	Fuiste buena conmigo, a pesar de ser mala.	Fuiste buena conmigo, a pesar de ser mala.	14	1 3 6 10 12 13	-	Alejandrino	1.0
filip	En tu amor mercenario encontré un no sé qué	En tu amor mercenario encontré un no sé qué	14	3 6 10 11 12 13	-	Alejandrino	1.0
filip	de sutil y exquisito, que por mucho lo iguala	de sutil y exquisito, que por mucho lo iguala	14	3 6 10 13	-	Alejandrino	1.0
filip	al de Aspasia dialéctica y al genial de Friné.	al de Aspasia dialéctica y al genial de Friné.	14	3 6 10 13	-	Alejandrino	1.0
filip	¡Oh mujer adorable! ¡Oh mujer que no es mía!	¡Oh mujer adorable! ¡Oh mujer que no es mía!	14	1 3 6 8 10 12 13	-	Alejandrino	1.0
filip	Este dulce pronombre, si quisieras, sería	Este dulce pronombre, si quisieras, sería	14	1 3 6 10 13	-	Alejandrino	1.0
filip	en mis labios, sedientos de los tuyos, verdad.	en mis labios, sedientos de los tuyos, verdad.	14	3 6 10 13	-	Alejandrino	1.0
filip	No querrás. Yo conozco ciertas vidas obscuras:	No querrás. Yo conozco ciertas vidas obscuras:	14	1 3 4 6 8 10 13	-	Alejandrino	1.0
filip	un infame te explota, cuyo nombre murmuras.	un infame te explota, cuyo nombre murmuras.	14	1 3 6 10 13	-	Alejandrino	1.0
filip	¡Infeliz! tú mereces doblemente piedad.	¡Infeliz! tú mereces doblemente piedad.	14	3 4 6 8 10 13	-	Alejandrino	1.0
filip	Este joven imberbe tiene el don soberano	Este joven imberbe tiene el don soberano	14	1 3 6 8 13	-	Alejandrino	1.0
filip	del verbo; es del linaje de. eximios escritores	del verbo; es del linaje de. eximios escritores	14	2 3 6 9 13	-	Alejandrino	1.0
filip	que por tierras que fueron de hispánicos señores	que por tierras que fueron de hispánicos señores	14	3 6 9 13	-	Alejandrino	1.0
filip	van a afianzar los vínculos del espíritu hispano.	van a afianzar los vínculos del espíritu hispano.	14	1 4 6 10 13	-	Alejandrino	1.0
filip	No gasta empenachado chambergo cual Cyrano,	no gasta   empenachado chambergo cual cyrano	14	1 2 7 10 13	-	Alejandrino	1.0
filip	pero le empuja un sueño de antiguos soñadores:	pero le empuja un sueño de antiguos soñadores:	14	4 5 6 9 13	-	Alejandrino	1.0
filip	aquel que fué en las naos de los Conquistadores	aquel que fué en las naos de los Conquistadores	14	2 4 6 13	-	Alejandrino	1.0
filip	y atravesó la Mancha con Alonso Quijano.	y atravesó la Mancha con Alonso Quijano.	14	4 6 10 13	-	Alejandrino	1.0
filip	Encantador moderno, magnífico prolífico,	Encantador moderno, magnífico prolífico,	14	4 6 9 13	-	Alejandrino	1.0
filip	deslumbran sus derroches de Creso magnífico.	deslumbran sus derroches de Creso magnífico.	13	2 6 9 12	-	Tridecasílabo	1.0
filip	Al fin de su periplo, cuando retorne a España,	Al fin de su periplo, cuando retorne a España,	14	2 6 11 13	-	Alejandrino	1.0
filip	Esperamos que cuajen en suntuosa odisea	Esperamos que cuajen en suntuosa odisea	14	3 6 10 13	-	Alejandrino	1.0
filip	sus visiones y diga de los pueblos que vea	sus visiones y diga de los pueblos que vea	14	3 6 10 13	-	Alejandrino	1.0
filip	cosas finas y leves como telas de araña.	cosas finas y leves como telas de araña.	14	1 3 6 10 13	-	Alejandrino	1.0
filip	Era un señor de gigantesca traza	Era un señor de gigantesca traza	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
filip	y de adiposa humanidad. Su gloria	y de adiposa humanidad. Su gloria	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
filip	la forma con el don de la oratoria,	la forma con el don de la oratoria,	11	2 10	2 6 10	Endecasílabo heroico puro	0.9
filip	la brillantez del escritor de raza.	la brillantez del escritor de raza.	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
filip	¡Movía el genio su ciclópea masa	movía el genio su ciclóp#a masa	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
filip	Caballero de limpia ejecutoria,	Caballero de limpia ejecutoria,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
filip	de las normas que forjan su historia,	de las normas que forjan su   historia	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
filip	no le apartó el temor ni la amenaza.	no le apartó el temor ni la amenaza.	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
filip	De su hora quedará firme el vestigio,	De su hora quedará firme el vestigio,	11	2 6 7 10	2 6 10	Endecasílabo heroico puro	0.9
filip	porque estaba labrado su prestigio,	porque estaba labrado su prestigio,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
filip	sobre el cimiento de la fe cristiana.	sobre el cimiento de la fe cristiana.	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
filip	Un justo gana con su muerte el cielo,	Un justo gana con su muerte el cielo,	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
filip	y en cambio pierde su nativo suelo	y en cambio pierde su nativo suelo	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
filip	un gran cultor del había castellana.	un gran cultor del hab#í castellana	11	1 2 4 7 10	2 4 10	Endecasílabo heroico difuso	0.8
filip	aún conservan mis playas su gloriosa silueta,	ún conservan mis playas su gloriosa silueta	14	1 3 6 10 13	-	Alejandrino	1.0
filip	Y aún palpita en la historia el valor ele su hazaña:	Y aún palpita en la historia el valor ele su hazaña:	16	2 4 7 11 12 15	-	Hexadecasílabo	1.0
filip	El Caudillo y el Fraile, Legaspi y Urdaneta,	el caudillo y el fraile legaspi   y   urdaneta	14	3 5 8 13	-	Alejandrino	1.0
filip	¡La cruz del Redentor y la espada de España!	¡La cruz del Redentor y la espada de España!	14	2 6 10 13	-	Alejandrino	1.0
filip	Caballeros de hierro ante gente sencilla	Caballeros de hierro ante gente sencilla	14	3 6 10 13	-	Alejandrino	1.0
filip	Con la frente inclinada a los Conquistadores;	Con la frente inclinada a los Conquistadores;	14	3 6 13	-	Alejandrino	1.0
filip	Y a los pies del pendón morado de Castilla,	Y a los pies del pendón morado de Castilla,	14	3 6 9 13	-	Alejandrino	1.0
filip	¡Las Islas Filipinas coronadas de flores!	¡Las Islas Filipinas coronadas de flores!	14	2 6 10 13	-	Alejandrino	1.0
filip	Tres siglos se tornaron, mortales, a la nada.	Tres siglos se tornaron, mortales, a la nada.	14	1 2 6 9 13	-	Alejandrino	1.0
filip	Llevándose al Caudillo y al Fraile en el fecundo	Llevándose al Caudillo y al Fraile en el fecundo	14	2 6 9 13	-	Alejandrino	1.0
filip	Palpitar de su gloria y aletear de su vuelo;	palpitar de su gloria   y aletar de su vuelo	14	3 6 10 13	-	Alejandrino	1.0
filip	Pero nos ha quedado, como herencia sagrada,	Pero nos ha quedado, como herencia sagrada,	14	4 6 10 13	-	Alejandrino	1.0
filip	¡La espada para abrirnos los senderos del mundo!	¡La espada para abrirnos los senderos del mundo!	14	2 6 10 13	-	Alejandrino	1.0
filip	¡Y la cruz para abrirnos los caminos del cielo!	¡Y la cruz para abrirnos los caminos del cielo!	14	3 6 10 13	-	Alejandrino	1.0
filip	El guerrero español y el Señor boholano	El guerrero español y el Señor boholano	14	3 6 10 13	-	Alejandrino	1.0
filip	Se encontraron, buscándose, bajo la noche bruna.	Se encontraron, buscándose, bajo la noche bruna.	14	3 6 11 13	-	Alejandrino	1.0
filip	Legaspi se llamaba el Capitán hispano.	Legaspi se llamaba el Capitán hispano.	14	2 6 11 13	-	Alejandrino	1.0
filip	El Señor de Bohol, el Raja Sicatuna.	El Señor de Bohol, el Raja Sicatuna.	14	3 6 9 13	-	Alejandrino	1.0
filip	Se besaron. Y urdieron abrirse mutuamente	Se besaron. Y urdieron abrirse mutuamente	14	3 6 9 11 13	-	Alejandrino	1.0
filip	Una herida en la vena donde su sangre ardía.	Una herida en la vena donde su sangre ardía.	14	1 3 6 11 13	-	Alejandrino	1.0
filip	Para mezclar su vida, y consagrarla ardiente	Para mezclar su vida, y consagrarla ardiente	14	4 6 11 13	-	Alejandrino	1.0
filip	Si Filipinas hoy, rotas ya sus cadenas,	Si Filipinas hoy, rotas ya sus cadenas,	14	4 6 8 10 13	-	Alejandrino	1.0
filip	Quisiera aparecer ante su historia, sola,	Quisiera aparecer ante su historia, sola,	14	2 6 11 13	-	Alejandrino	1.0
filip	Olvidada del pacto de su viejo Virrey,	Olvidada del pacto de su viejo Virrey,	14	3 6 10 13	-	Alejandrino	1.0
filip	Se tendría que abrir nuevamente las venas,	Se tendría que abrir nuevamente las venas,	14	3 6 8 10 13	-	Alejandrino	1.0
filip	Y arrancar de sus venas esta sangre española	Y arrancar de sus venas esta sangre española	14	3 6 8 10 13	-	Alejandrino	1.0
filip	¡Que en su vida y su alma es Dios, idioma y ley!	que en su vida y su alma   es dios idioma   y ley	14	3 5 7 8 10 13	-	Alejandrino	1.0
filip	El Capitán Salcedo, preso en los dulces ojos	El Capitán Salcedo, preso en los dulces ojos	14	4 6 8 11 13	-	Alejandrino	1.0
filip	De la princesa india dormida en su candor,	de la princesa india dormida   en su candor	14	4 5 8 13	-	Alejandrino	1.0
filip	Se desciñó la espada, y postrado de hinojos,	Se desciñó la espada, y postrado de hinojos,	14	4 6 10 13	-	Alejandrino	1.0
filip	Puso sobre su sueño un beso y una flor.	puso sobre su sueño   un beso y   una flor	14	1 6 8 9 11 13	-	Alejandrino	1.0
filip	El seno de la tierra sintió una nueva vida;	El seno de la tierra sintió una nueva vida;	14	2 6 9 11 13	-	Alejandrino	1.0
filip	La espiga de oro se hizo prenda del sembrador;	La espiga de oro se hizo prenda del sembrador;	15	2 4 7 9 14	-	Pentadecasílabo	1.0
filip	Y toda Filipinas despertó estremecida	Y toda Filipinas despertó estremecida	14	2 6 10 13	-	Alejandrino	1.0
filip	Y se alzó sacudida por un grito de amor.	Y se alzó sacudida por un grito de amor.	14	3 6 9 10 13	-	Alejandrino	1.0
filip	Después, en otra noche romántica y preclara,	Después, en otra noche romántica y preclara,	14	2 4 6 9 13	-	Alejandrino	1.0
filip	Como ninguna otra de luminosa y bella,	como ninguna otra de luminosa   y bella	14	4 5 10 13	-	Alejandrino	1.0
filip	Como si a más de estrella, tuviera luna y sol,	Como si a más de estrella, tuviera luna y sol,	14	4 6 9 11 13	-	Alejandrino	1.0
filip	Surgió de aquella noche de amor, María Clara,	Surgió de aquella noche de amor, María Clara,	14	2 4 6 9 11 13	-	Alejandrino	1.0
filip	Dulce como una rosa, blanca como una estrella,	Dulce como una rosa, blanca como una estrella,	14	1 4 6 8 11 13	-	Alejandrino	1.0
filip	¡Pulsando en su arpa indígena su cántico español!	¡Pulsando en su arpa indígena su cántico español!	14	2 4 6 9 13	-	Alejandrino	1.0
filip	Soy un bardo indo-hispano. En mi pecho cristiano	Soy un bardo indo-hispano. En mi pecho cristiano	14	1 2 6 10 13	-	Alejandrino	1.0
filip	Mi corazón es vaso donde mezclada está	Mi corazón es vaso donde mezclada está	14	4 5 6 11 13	-	Alejandrino	1.0
filip	La sangre de Legaspi, el Capitán hispano.	La sangre de Legaspi, el Capitán hispano.	14	2 6 11 13	-	Alejandrino	1.0
filip	Con la sangre tagala de la hija del Rajá.	Con la sangre tagala de la hija del Rajá.	14	3 6 9 13	-	Alejandrino	1.0
filip	Con el talón hundido en olas y en espumas,	Con el talón hundido en olas y en espumas,	14	4 6 9 13	-	Alejandrino	1.0
filip	Esperé sobre el mar el galeón español,	esperé sobre   el mar el galón español	14	3 7 10 13	-	Alejandrino	1.0
filip	Y España, al encontrarme, besó las áureas plumas	y españa al encontrarme besó las áras plumas	14	2 6 9 11 13	-	Alejandrino	1.0
filip	Que en mi frente temblaban como rayos de sol.	Que en mi frente temblaban como rayos de sol.	14	3 6 10 13	-	Alejandrino	1.0
filip	Era herniosa, era buena, era plena de amores;	Era herniosa, era buena, era plena de amores;	14	1 3 4 6 8 10 13	-	Alejandrino	1.0
filip	Puse a sus pies mis lanzas, mis espigas, mis flores;	Puse a sus pies mis lanzas, mis espigas, mis flores;	14	1 4 6 10 13	-	Alejandrino	1.0
filip	La di mi corazón salvaje y oriental;	la di mi corazón salvaje y   oriental	14	2 6 9 13	-	Alejandrino	1.0
filip	Y desde entonces va en mi pecho desnudo	y desde   entonces va   en mi pecho desnudo	14	5 7 10 13	-	Alejandrino	1.0
filip	Sirviéndome de férreo y de glorioso escudo	Sirviéndome de férreo y de glorioso escudo	14	2 6 11 13	-	Alejandrino	1.0
filip	Con su idioma divino y su sangre inmortal.	Con su idioma divino y su sangre inmortal.	14	3 6 10 13	-	Alejandrino	1.0
filip	Filipina de ayer, mujer dulce y santera,	Filipina de ayer, mujer dulce y santera,	14	3 6 9 10 13	-	Alejandrino	1.0
filip	De cabellera larga como un velo oloroso;	De cabellera larga como un velo oloroso;	14	4 6 9 10 13	-	Alejandrino	1.0
filip	De serena mirada y de humilde manera;	De serena mirada y de humilde manera;	14	3 6 10 13	-	Alejandrino	1.0
filip	Envuelta en dignidad y silencio y reposo.	Envuelta en dignidad y silencio y reposo.	14	2 6 10 13	-	Alejandrino	1.0
filip	Filipina de ayer, pura como una flor;	Filipina de ayer, pura como una flor;	14	3 6 8 11 13	-	Alejandrino	1.0
filip	Plena de elevación y luz como una llama;	Plena de elevación y luz como una llama;	14	1 6 9 11 13	-	Alejandrino	1.0
filip	Que nunca te atrevías a mirar al amor,	Que nunca te atrevías a mirar al amor,	14	2 6 10 13	-	Alejandrino	1.0
filip	¡Tú que supiste amar como ya no se ama!	tú que supiste   amar como ya no se   ama	14	1 4 7 10 11 13	-	Alejandrino	1.0
filip	¡Filipina de ayer, Doña María Peña!	¡Filipina de ayer, Doña María Peña!	14	3 6 11 13	-	Alejandrino	1.0
filip	Permite que el poeta que en el ayer te sueña	Permite que el poeta que en el ayer te sueña	14	2 6 11 13	-	Alejandrino	1.0
filip	Como visión de patria, como símbolo santo,	Como visión de patria, como símbolo santo,	14	4 6 10 13	-	Alejandrino	1.0
filip	Hoy que se enflora un año nuevo sobre tu frente,	Hoy que se enflora un año nuevo sobre tu frente,	14	1 4 5 6 8 13	-	Alejandrino	1.0
filip	Se incline ante tu vida, rendido y reverente.	Se incline ante tu vida, rendido y reverente.	14	2 6 9 13	-	Alejandrino	1.0
filip	¡Y alce por ti, basta Dios, las alas de su canto!	¡Y alce por ti, basta Dios, las alas de su canto!	14	1 4 5 7 9 13	-	Alejandrino	1.0
filip	tumbas desparramadas por doquiera,	tumbas desparramadas por doquiera,	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
filip	Abiertas en la noche de la Historia,	Abiertas en la noche de la Historia,	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
filip	Sin una cruz que os sirva de cimera,	Sin una cruz que os sirva de cimera,	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
filip	¡Ni una luz que os recuerde a la memoria!	¡Ni una luz que os recuerde a la memoria!	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
filip	Surcos que en la lejana sementera	Surcos que en la lejana sementera	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
filip	Sois un puñado de mortal escoria;	Sois un puñado de mortal escoria;	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
filip	De vosotros brotó nuestra bandera,	De vosotros brotó nuestra bandera,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
filip	¡Como una flor divina de la gloria!	¡Como una flor divina de la gloria!	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
filip	Si el amor no os consagra con su lloro,	Si el amor no os consagra con su lloro,	11	3 4 6 10	3 6 10	Endecasílabo melódico puro	0.9
filip	Y no hay rosas, ni lámparas de oro,	y no hay rosas ni lámparas de   oro	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
filip	Ni una cruz, que en recuerdo se os depare,	Ni una cruz, que en recuerdo se os depare,	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
filip	Yo, entre vosotros, abriré mis brazos	Yo, entre vosotros, abriré mis brazos	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
filip	Y sobre nuestra enseña hecha pedazos,	Y sobre nuestra enseña hecha pedazos,	11	6 7 10	6 10	Endecasílabo vacío puro	0.9
filip	¡ Seré la cruz gloriosa que os ampare!	¡ Seré la cruz gloriosa que os ampare!	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
filip	Te acuerdas tú de aquella noche que en el Estudio	Te acuerdas tú de aquella noche que en el Estudio	14	2 4 6 8 13	-	Alejandrino	1.0
filip	De la Estación de Radio, nimbada de esplendor,	De la Estación de Radio, nimbada de esplendor,	14	4 6 9 13	-	Alejandrino	1.0
filip	Un puñado de rosas que te di fué el preludio	Un puñado de rosas que te di fué el preludio	14	1 3 6 10 11 13	-	Alejandrino	1.0
filip	De esta nuestra encantada opereta de amor ?	De esta nuestra encantada opereta de amor ?	14	1 6 10 13	-	Alejandrino	1.0
filip	Tus manos se llenaban con los pétalos rojos	Tus manos se llenaban con los pétalos rojos	14	2 6 10 13	-	Alejandrino	1.0
filip	Y las verdes espinas de mi amante oblación;	Y las verdes espinas de mi amante oblación;	14	3 6 10 13	-	Alejandrino	1.0
filip	Y reías, reías con tu boca y tus ojos,	Y reías, reías con tu boca y tus ojos,	14	3 6 10 13	-	Alejandrino	1.0
filip	Sin saber que en las rosas iba mi corazón.	Sin saber que en las rosas iba mi corazón.	14	3 6 8 13	-	Alejandrino	1.0
filip	Han pasado los días como pasa la brisa	Han pasado los días como pasa la brisa	14	1 3 6 10 13	-	Alejandrino	1.0
filip	Deshojando las rosas. Ya no escucho tu risa,	Deshojando las rosas. Ya no escucho tu risa,	14	3 6 8 9 10 13	-	Alejandrino	1.0
filip	Porque Amor, más que a risa, nos empuja a llorar,	Porque Amor, más que a risa, nos empuja a llorar,	14	3 4 6 10 13	-	Alejandrino	1.0
filip	Y tú aguardando vives, dulce y enamorada,	y tú aguardando vives dulce y   enamorada	14	2 4 6 8 13	-	Alejandrino	1.0
filip	Que otra noche cualquiera, la menos esperada.	Que otra noche cualquiera, la menos esperada.	14	1 3 6 9 13	-	Alejandrino	1.0
filip	Mi amor, como a una rosa, te vaya a deshojar.	Mi amor, como a una rosa, te vaya a deshojar.	14	2 4 6 9 13	-	Alejandrino	1.0
filip	El santo sacrificio de amor ha terminado.	El santo sacrificio de amor ha terminado.	14	2 6 9 10 13	-	Alejandrino	1.0
filip	Murió como un suspiro el rito delirante.	Murió como un suspiro el rito delirante.	14	2 4 6 9 13	-	Alejandrino	1.0
filip	Y del templo desierto ante al altar sagrado,	Y del templo desierto ante al altar sagrado,	14	3 6 11 13	-	Alejandrino	1.0
filip	Ya no está de rodillas el sacerdote amante.	Ya no está de rodillas el sacerdote amante.	14	1 2 3 6 11 13	-	Alejandrino	1.0
filip	En las altas ventanas de cristal de colores	En las altas ventanas de cristal de colores	14	3 6 10 13	-	Alejandrino	1.0
filip	Cesaron su batir las alas de las aves;	Cesaron su batir las alas de las aves;	14	2 6 9 13	-	Alejandrino	1.0
filip	Es la noche del templo, sin luna, sin fervores,	Es la noche del templo, sin luna, sin fervores,	14	1 3 6 9 13	-	Alejandrino	1.0
filip	Sin siquiera fantasmas de recuerdo en sus naves.	Sin siquiera fantasmas de recuerdo en sus naves.	14	3 6 10 13	-	Alejandrino	1.0
filip	El templo está vacío. El ara está entre sombras.	El templo está vacío. El ara está entre sombras.	14	2 4 6 9 11 13	-	Alejandrino	1.0
filip	Nadie deshoja un solo capullo en sus alfombras;	Nadie deshoja un solo capullo en sus alfombras;	14	1 4 5 6 9 13	-	Alejandrino	1.0
filip	Ni una sola campana en su silencio canta;	Ni una sola campana en su silencio canta;	14	1 3 6 11 13	-	Alejandrino	1.0
filip	Y en lo alto del altar en el que ya ni pienso.	Y en lo alto del altar en el que ya ni pienso.	14	2 6 11 13	-	Alejandrino	1.0
filip	Sin cánticos, sin flores, sin luces, sin incienso,	Sin cánticos, sin flores, sin luces, sin incienso,	14	2 6 9 13	-	Alejandrino	1.0
filip	Parece que me buscan los ojos de la Santa.	Parece que me buscan los ojos de la Santa.	14	2 6 9 13	-	Alejandrino	1.0
filip	Cristo, óyeme. Yo soy tu sierva del Oriente,	Cristo, óyeme. Yo soy tu sierva del Oriente,	14	1 2 5 6 9 13	-	Alejandrino	1.0
filip	La eternamente uncida a tu divino amor;	La eternamente uncida a tu divino amor;	14	2 4 6 11 13	-	Alejandrino	1.0
filip	La que te halla en la luz de su aurora naciente	La que te halla en la luz de su aurora naciente	14	3 6 10 13	-	Alejandrino	1.0
filip	Como te halló en la triste noche de su dolor.	Como te halló en la triste noche de su dolor.	14	4 6 8 13	-	Alejandrino	1.0
filip	Yo soy tu esclava. Cristo. Me llamo Filipinas,	Yo soy tu esclava. Cristo. Me llamo Filipinas,	14	1 2 4 6 9 13	-	Alejandrino	1.0
filip	Y como Tú en el Gólgota, bañada en sombra y luz,	Y como Tú en el Gólgota, bañada en sombra y luz,	14	4 6 9 11 13	-	Alejandrino	1.0
filip	Llevé sobre mi frente un puñado de espinas,	Llevé sobre mi frente un puñado de espinas,	14	2 6 8 10 13	-	Alejandrino	1.0
filip	Y derramé mi sangre en lo alto de una cruz.	Y derramé mi sangre en lo alto de una cruz.	14	4 6 9 11 13	-	Alejandrino	1.0
filip	No permitas, Señor, por tus brazos tendidos,	No permitas, Señor, por tus brazos tendidos,	14	1 3 6 10 13	-	Alejandrino	1.0
filip	Que jamás sea el clavo que tu carne taladre,	Que jamás sea el clavo que tu carne taladre,	14	3 4 6 10 13	-	Alejandrino	1.0
filip	Ni que sea tu cáliz de amargura y de llanto;	Ni que sea tu cáliz de amargura y de llanto;	14	3 6 10 13	-	Alejandrino	1.0
filip	Y al mirarme tronchada bajo tus pies heridos,	Y al mirarme tronchada bajo tus pies heridos,	14	3 6 11 13	-	Alejandrino	1.0
filip	Bendíceme, Señor, en el nombre del Padre,	Bendíceme, Señor, en el nombre del Padre,	14	2 6 10 13	-	Alejandrino	1.0
filip	En el nombre del Hijo, y el Espíritu Santo.	En el nombre del Hijo, y el Espíritu Santo.	14	3 6 10 13	-	Alejandrino	1.0
filip	Vuela el columpio tenso de dos añosos nangkas	Vuela el columpio tenso de dos añosos nangkas	14	1 4 6 9 11 13	-	Alejandrino	1.0
filip	Mientras todo lo llenas de risas y de aromas.	Mientras todo lo llenas de risas y de aromas.	14	3 6 9 13	-	Alejandrino	1.0
filip	Y de entre los encajes de tus enaguas blancas	Y de entre los encajes de tus enaguas blancas	14	6 11 13	-	Alejandrino	1.0
filip	Surgen tus pies desnudos, blancos como palomas.	Surgen tus pies desnudos, blancos como palomas.	14	1 4 6 8 13	-	Alejandrino	1.0
filip	Se cayeron tus corchos y yerran en la brisa	Se cayeron tus corchos y yerran en la brisa	14	3 6 9 13	-	Alejandrino	1.0
filip	Tus cabellos flotantes y negros de tagala.	Tus cabellos flotantes y negros de tagala.	14	3 6 9 13	-	Alejandrino	1.0
filip	Marchitado el pañuelo de tu mustia camisa	Marchitado el pañuelo de tu mustia camisa	14	3 6 10 13	-	Alejandrino	1.0
